file,pos,x,y,w,h,digit
captcha_001.jpg,0,9,11,21,29,3
captcha_001.jpg,1,58,18,14,17,1
captcha_001.jpg,2,87,3,24,34,3
captcha_001.jpg,3,134,34,16,18,0
captcha_002.jpg,0,5,27,22,26,2
captcha_002.jpg,1,43,10,24,26,3
captcha_002.jpg,2,89,32,12,17,0
captcha_002.jpg,3,109,15,13,12,0
captcha_003.jpg,0,21,19,14,15,5
captcha_003.jpg,1,55,20,10,12,1
captcha_003.jpg,2,83,29,16,13,5
captcha_003.jpg,3,116,20,30,32,4
captcha_004.jpg,0,18,26,9,17,1
captcha_004.jpg,1,51,26,15,23,3
captcha_004.jpg,2,72,11,17,16,5
captcha_004.jpg,3,121,11,22,27,7
captcha_005.jpg,0,9,47,12,13,1
captcha_005.jpg,1,43,17,13,14,0
captcha_005.jpg,2,79,9,33,44,9
captcha_005.jpg,3,116,8,28,49,9
captcha_006.jpg,0,7,14,11,14,1
captcha_006.jpg,1,41,11,29,29,6
captcha_006.jpg,2,84,6,24,28,8
captcha_006.jpg,3,119,10,23,29,8
captcha_007.jpg,0,7,13,23,28,2
captcha_007.jpg,1,49,29,24,25,6
captcha_007.jpg,2,79,4,26,26,9
captcha_007.jpg,3,123,14,22,30,2
captcha_008.jpg,0,1,25,39,34,7
captcha_008.jpg,1,43,8,33,36,6
captcha_008.jpg,2,89,48,11,12,1
captcha_008.jpg,3,111,11,14,15,1
captcha_009.jpg,0,5,22,26,30,9
captcha_009.jpg,1,44,19,23,24,6
captcha_009.jpg,2,84,24,32,33,6
captcha_009.jpg,3,136,20,14,15,1
captcha_010.jpg,0,4,9,31,42,9
captcha_010.jpg,1,40,8,29,30,6
captcha_010.jpg,2,79,22,27,32,2
captcha_010.jpg,3,120,10,28,36,8
captcha_011.jpg,0,9,18,29,36,4
captcha_011.jpg,1,41,12,20,22,8
captcha_011.jpg,2,90,33,17,16,5
captcha_011.jpg,3,125,25,12,16,1
captcha_012.jpg,0,4,9,31,35,4
captcha_012.jpg,1,42,13,22,24,2
captcha_012.jpg,2,76,15,29,38,6
captcha_012.jpg,3,120,14,29,34,3
captcha_013.jpg,0,14,36,15,14,0
captcha_013.jpg,1,39,20,42,39,7
captcha_013.jpg,2,84,17,24,26,8
captcha_013.jpg,3,121,13,26,32,6
captcha_014.jpg,0,7,24,24,35,3
captcha_014.jpg,1,44,23,23,28,7
captcha_014.jpg,2,80,9,19,24,6
captcha_014.jpg,3,116,23,30,35,4
captcha_015.jpg,0,4,18,18,23,9
captcha_015.jpg,1,40,7,35,33,4
captcha_015.jpg,2,82,29,21,27,2
captcha_015.jpg,3,120,10,28,34,4
captcha_016.jpg,0,8,39,15,15,0
captcha_016.jpg,1,40,4,21,26,3
captcha_016.jpg,2,75,16,41,43,9
captcha_016.jpg,3,123,24,24,32,7
captcha_017.jpg,0,2,4,31,39,9
captcha_017.jpg,1,51,46,16,14,5
captcha_017.jpg,2,74,6,34,37,9
captcha_017.jpg,3,120,18,24,35,3
captcha_018.jpg,0,6,3,34,35,7
captcha_018.jpg,1,48,10,20,21,2
captcha_018.jpg,2,80,20,11,16,5
captcha_018.jpg,3,123,25,27,31,3
captcha_019.jpg,0,8,50,14,10,0
captcha_019.jpg,1,48,9,23,28,4
captcha_019.jpg,2,84,17,24,36,8
captcha_019.jpg,3,112,2,32,33,9
captcha_020.jpg,0,4,19,27,35,8
captcha_020.jpg,1,42,20,25,35,8
captcha_020.jpg,2,75,17,31,36,9
captcha_020.jpg,3,121,24,26,28,8
captcha_021.jpg,0,11,18,19,27,3
captcha_021.jpg,1,43,19,23,27,4
captcha_021.jpg,2,85,12,18,24,4
captcha_021.jpg,3,114,22,26,26,8
captcha_022.jpg,0,5,19,21,27,6
captcha_022.jpg,1,46,12,26,25,6
captcha_022.jpg,2,78,11,31,37,8
captcha_022.jpg,3,121,23,23,35,3
captcha_023.jpg,0,8,42,12,16,1
captcha_023.jpg,1,39,22,17,17,5
captcha_023.jpg,2,79,26,11,15,5
captcha_023.jpg,3,117,15,27,28,2
captcha_024.jpg,0,8,6,17,27,7
captcha_024.jpg,1,36,18,21,22,7
captcha_024.jpg,2,76,4,31,26,7
captcha_024.jpg,3,115,18,30,26,6
captcha_025.jpg,0,3,30,13,17,5
captcha_025.jpg,1,46,27,24,26,8
captcha_025.jpg,2,80,21,19,22,9
captcha_025.jpg,3,116,27,29,28,9
captcha_026.jpg,0,3,21,27,34,3
captcha_026.jpg,1,58,27,14,18,0
captcha_026.jpg,2,75,14,16,19,5
captcha_026.jpg,3,118,22,22,24,4
captcha_027.jpg,0,4,17,19,24,8
captcha_027.jpg,1,39,16,27,32,8
captcha_027.jpg,2,79,9,22,27,8
captcha_027.jpg,3,119,20,22,24,7
captcha_028.jpg,0,6,11,17,23,4
captcha_028.jpg,1,38,16,27,37,9
captcha_028.jpg,2,78,21,23,28,7
captcha_028.jpg,3,122,19,24,28,8
captcha_029.jpg,0,7,11,22,26,8
captcha_029.jpg,1,39,19,25,25,6
captcha_029.jpg,2,80,18,21,26,4
captcha_029.jpg,3,111,10,34,36,6
captcha_030.jpg,0,4,22,20,27,4
captcha_030.jpg,1,45,28,25,25,7
captcha_030.jpg,2,98,14,16,13,1
captcha_030.jpg,3,119,17,18,32,6
captcha_031.jpg,0,8,18,19,26,4
captcha_031.jpg,1,46,18,22,22,3
captcha_031.jpg,2,77,26,23,25,4
captcha_031.jpg,3,115,48,15,11,0
captcha_032.jpg,0,4,12,23,31,7
captcha_032.jpg,1,54,16,14,13,0
captcha_032.jpg,2,74,22,13,18,1
captcha_032.jpg,3,119,20,30,36,2
captcha_033.jpg,0,5,8,28,35,6
captcha_033.jpg,1,45,15,23,28,6
captcha_033.jpg,2,77,10,30,39,9
captcha_033.jpg,3,118,22,20,25,7
captcha_034.jpg,0,3,6,33,42,9
captcha_034.jpg,1,43,19,21,33,8
captcha_034.jpg,2,79,7,28,41,9
captcha_034.jpg,3,123,9,26,37,2
captcha_035.jpg,0,1,12,33,43,9
captcha_035.jpg,1,41,15,23,34,2
captcha_035.jpg,2,85,49,13,10,0
captcha_035.jpg,3,115,2,24,29,6
captcha_036.jpg,0,8,20,14,19,1
captcha_036.jpg,1,41,13,31,30,7
captcha_036.jpg,2,96,19,15,14,1
captcha_036.jpg,3,122,14,24,32,3
captcha_037.jpg,0,2,11,35,40,9
captcha_037.jpg,1,40,2,33,44,9
captcha_037.jpg,2,83,25,12,17,0
captcha_037.jpg,3,128,36,16,17,0
captcha_038.jpg,0,11,4,17,28,7
captcha_038.jpg,1,44,4,26,31,2
captcha_038.jpg,2,81,26,19,23,7
captcha_038.jpg,3,114,10,33,28,8
captcha_039.jpg,0,4,39,11,15,0
captcha_039.jpg,1,50,35,16,16,1
captcha_039.jpg,2,86,40,11,14,1
captcha_039.jpg,3,124,21,26,29,3
captcha_040.jpg,0,2,6,29,30,7
captcha_040.jpg,1,42,6,25,38,2
captcha_040.jpg,2,79,6,22,25,7
captcha_040.jpg,3,118,5,29,30,3
captcha_041.jpg,0,9,13,22,33,3
captcha_041.jpg,1,47,7,24,26,4
captcha_041.jpg,2,80,22,29,34,3
captcha_041.jpg,3,116,24,24,27,6
captcha_042.jpg,0,6,21,19,27,6
captcha_042.jpg,1,54,24,16,18,1
captcha_042.jpg,2,97,47,13,13,1
captcha_042.jpg,3,119,23,29,33,8
captcha_043.jpg,0,7,8,29,32,6
captcha_043.jpg,1,42,27,21,25,4
captcha_043.jpg,2,84,27,27,29,8
captcha_043.jpg,3,118,30,28,25,9
captcha_044.jpg,0,5,32,15,20,5
captcha_044.jpg,1,45,20,19,21,5
captcha_044.jpg,2,84,15,26,33,4
captcha_044.jpg,3,117,25,24,28,9
captcha_045.jpg,0,4,24,28,30,6
captcha_045.jpg,1,48,24,23,30,4
captcha_045.jpg,2,81,16,30,41,8
captcha_045.jpg,3,126,28,11,14,0
captcha_046.jpg,0,8,11,24,26,3
captcha_046.jpg,1,41,46,13,14,0
captcha_046.jpg,2,75,11,29,33,8
captcha_046.jpg,3,122,44,14,15,0
captcha_047.jpg,0,7,48,11,12,5
captcha_047.jpg,1,47,17,25,33,3
captcha_047.jpg,2,99,30,11,17,5
captcha_047.jpg,3,126,22,16,13,0
captcha_048.jpg,0,10,13,27,40,9
captcha_048.jpg,1,40,51,13,9,0
captcha_048.jpg,2,93,33,16,16,1
captcha_048.jpg,3,116,21,31,33,7
captcha_049.jpg,0,6,5,24,36,3
captcha_049.jpg,1,41,10,18,25,7
captcha_049.jpg,2,81,5,28,35,4
captcha_049.jpg,3,119,3,26,37,3
captcha_050.jpg,0,7,11,24,33,2
captcha_050.jpg,1,39,12,34,41,9
captcha_050.jpg,2,80,5,25,27,4
captcha_050.jpg,3,112,41,19,17,0
captcha_051.jpg,0,8,2,25,35,8
captcha_051.jpg,1,35,35,12,15,0
captcha_051.jpg,2,78,27,30,33,3
